time_sec,host_write_MB,cache_write_MB,backend_write_MB,gc_write_MB,host_write_delta_MB,cache_write_delta_MB,backend_write_delta_MB,gc_write_delta_MB,nvme_host_written_MB,nvme_media_written_MB,nvme_host_delta_MB,nvme_media_delta_MB,cache_read_MB,backend_read_MB,valid_blocks,write_hit_count,gc_victim_blocks,evict_victim_blocks
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,3289927683.90,5819129690.03,0.00,0.00,0,0,0,0
6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,0,0,0,0
38.00,1592.52,1592.52,0.00,0.00,1592.52,1592.52,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,399843,7841,0,0
40.00,4138.14,4138.14,0.00,0.00,2545.62,2545.62,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,993092,66272,0,0
42.00,6651.54,6651.54,0.00,0.00,2513.40,2513.40,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,1500981,201813,0,0
44.00,9233.64,9233.64,0.00,0.00,2582.10,2582.10,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,2023238,340573,0,0
46.00,11818.17,11818.17,0.00,0.00,2584.53,2584.53,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,2358510,666941,0,0
48.00,14374.27,14374.27,0.00,0.00,2556.11,2556.11,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,2678492,1001322,0,0
50.00,16965.32,16965.32,0.00,0.00,2591.05,2591.05,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,2932652,1410471,0,0
52.00,19430.33,19430.33,0.00,0.00,2465.01,2465.01,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,3293705,1680460,0,0
54.00,22069.90,22069.90,0.00,0.00,2639.57,2639.57,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,3614062,2035833,0,0
56.00,24663.22,24663.22,0.00,0.00,2593.32,2593.32,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,3926285,2387499,0,0
58.00,27266.09,27266.09,0.00,0.00,2602.88,2602.88,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,4267661,2712459,0,0
60.00,29901.57,29901.57,0.00,0.00,2635.48,2635.48,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,4581351,3073452,0,0
62.00,32538.66,32538.66,0.00,0.00,2637.09,2637.09,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,4854989,3474909,0,0
64.00,35215.17,35215.17,0.00,0.00,2676.50,2676.50,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,5089278,3925805,0,0
66.00,37935.62,37935.62,0.00,0.00,2720.46,2720.46,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,5572244,4139276,0,0
68.00,40615.86,40615.86,0.00,0.00,2680.24,2680.24,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,5933587,4464074,0,0
70.00,43037.70,43037.70,0.00,0.00,2421.83,2421.83,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,6255773,4761877,0,0
72.00,45675.56,45675.56,0.00,0.00,2637.87,2637.87,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,6474774,5218170,0,0
74.00,48320.94,48320.94,0.00,0.00,2645.38,2645.38,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,6783892,5586269,0,0
76.00,50942.82,50942.82,0.00,0.00,2621.88,2621.88,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,7007506,6033855,0,0
78.00,53695.36,53695.36,0.00,0.00,2752.55,2752.55,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,7299577,6446436,0,0
80.00,56384.72,56384.72,0.00,0.00,2689.36,2689.36,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,7789627,6644861,0,0
82.00,59045.39,59045.39,0.00,0.00,2660.67,2660.67,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,8103851,7011769,0,0
84.00,61822.30,61822.30,0.00,0.00,2776.91,2776.91,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,8532475,7294034,0,0
86.00,64579.22,64579.22,0.00,0.00,2756.92,2756.92,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,8997111,7535170,0,0
88.00,67324.71,67324.71,0.00,0.00,2745.49,2745.49,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,9397696,7837431,0,0
90.00,70067.66,70067.66,0.00,0.00,2742.95,2742.95,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,9713394,8223927,0,0
92.00,72857.81,72857.81,0.00,0.00,2790.15,2790.15,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,10016628,8634971,0,0
94.00,75645.43,75645.43,0.00,0.00,2787.62,2787.62,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,10394070,8971159,0,0
96.00,78444.81,78444.81,0.00,0.00,2799.38,2799.38,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,10749847,9332024,0,0
98.00,81244.95,81244.95,0.00,0.00,2800.14,2800.14,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,11152376,9646330,0,0
100.00,84070.29,84070.29,0.00,0.00,2825.35,2825.35,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,11575703,9946292,0,0
102.00,86889.02,86889.02,0.00,0.00,2818.73,2818.73,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,11955412,10288177,0,0
104.00,89095.70,89095.70,0.00,0.00,2206.68,2206.68,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,12205163,10603335,0,0
106.00,91910.45,91910.45,0.00,0.00,2814.75,2814.75,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,12461441,11067633,0,0
108.00,94742.55,94742.55,0.00,0.00,2832.11,2832.11,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,12780495,11473599,0,0
110.00,97574.00,97574.00,0.00,0.00,2831.45,2831.45,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,13123615,11855330,0,0
112.00,100402.50,100402.50,0.00,0.00,2828.50,2828.50,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,13499529,12203511,0,0
114.00,103246.91,103246.91,0.00,0.00,2844.41,2844.41,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,13863492,12567718,0,0
116.00,106073.41,106073.41,0.00,0.00,2826.49,2826.49,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,14181032,12973760,0,0
118.00,108900.59,108900.59,0.00,0.00,2827.19,2827.19,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,14522264,13356288,0,0
120.00,111733.81,111733.81,0.00,0.00,2833.21,2833.21,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,14788381,13815474,0,0
122.00,114538.45,114538.45,0.00,0.00,2804.64,2804.64,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,15056822,14265022,0,0
124.00,117315.59,117315.59,0.00,0.00,2777.14,2777.14,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,15521679,14511113,0,0
126.00,120106.93,120106.93,0.00,0.00,2791.34,2791.34,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,16088895,14658479,0,0
128.00,122862.43,122862.43,0.00,0.00,2755.50,2755.50,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,16530829,14921952,0,0
130.00,125705.64,125705.64,0.00,0.00,2843.21,2843.21,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,16947366,15233277,0,0
132.00,128573.75,128573.75,0.00,0.00,2868.11,2868.11,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,17337090,15577790,0,0
134.00,131377.41,131377.41,0.00,0.00,2803.66,2803.66,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,17773632,15858985,0,0
136.00,134165.54,134165.54,0.00,0.00,2788.12,2788.12,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,18366610,15979767,0,0
138.00,136958.08,136958.08,0.00,0.00,2792.55,2792.55,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,18691232,16370037,0,0
140.00,139701.05,139701.05,0.00,0.00,2742.97,2742.97,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,18965920,16797550,0,0
142.00,142452.45,142452.45,0.00,0.00,2751.39,2751.39,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,19184448,17283378,0,0
144.00,145194.28,145194.28,0.00,0.00,2741.84,2741.84,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,19531295,17638441,0,0
146.00,147898.90,147898.90,0.00,0.00,2704.62,2704.62,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,20026252,17835867,0,0
148.00,150602.01,150602.01,0.00,0.00,2703.11,2703.11,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,20338249,18215866,0,0
150.00,153309.65,153309.65,0.00,0.00,2707.64,2707.64,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,20658145,18589125,0,0
152.00,156033.50,156033.50,0.00,0.00,2723.86,2723.86,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,21113500,18831077,0,0
154.00,158705.36,158705.36,0.00,0.00,2671.85,2671.85,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,21518871,19109700,0,0
156.00,161338.66,161338.66,0.00,0.00,2633.30,2633.30,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,21922158,19380539,0,0
158.00,164054.77,164054.77,0.00,0.00,2716.11,2716.11,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,22287754,19710267,0,0
160.00,166763.47,166763.47,0.00,0.00,2708.70,2708.70,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,22665202,20026247,0,0
162.00,169418.86,169418.86,0.00,0.00,2655.39,2655.39,0.00,0.00,3289927683.90,5819129690.03,0.00,0.00,0.00,0.00,22969737,20401492,0,0
