timestamp,type,class,valid_blocks,total_blocks,valid_ratio
439591244,evict_victim_age_dist,1,861881,1572864,0.547969
441193934,evict_victim_age_dist,0,86268,1572864,0.054848
442829589,evict_victim_age_dist,1,1152272,1572864,0.732595
444435675,evict_victim_age_dist,1,1368514,1572864,0.870078
446060122,evict_victim_age_dist,1,1394139,1572864,0.886370
447851417,evict_victim_age_dist,0,95273,1572864,0.060573
449510906,evict_victim_age_dist,1,1458859,1572864,0.927518
451107687,evict_victim_age_dist,0,36354,1572864,0.023113
452685846,evict_victim_age_dist,1,1235124,1572864,0.785271
454266566,gc_victim_age_dist,0,37531,1572864,0.023862
454296457,gc_victim_age_dist,0,63825,1572864,0.040579
454343983,gc_victim_age_dist,0,222217,1572864,0.141282
455848004,gc_victim_age_dist,0,12945,1572864,0.008230
457434344,gc_victim_age_dist,0,15810,1572864,0.010052
457445980,gc_victim_age_dist,0,9460,1572864,0.006015
459032942,gc_victim_age_dist,0,16890,1572864,0.010738
460646016,gc_victim_age_dist,0,10400,1572864,0.006612
462258073,gc_victim_age_dist,0,18080,1572864,0.011495
463855852,gc_victim_age_dist,0,7580,1572864,0.004819
465461791,gc_victim_age_dist,0,16110,1572864,0.010242
467126491,gc_victim_age_dist,0,14373,1572864,0.009138
467196009,gc_victim_age_dist,0,23930,1572864,0.015214
468896415,gc_victim_age_dist,0,17205,1572864,0.010939
470575518,gc_victim_age_dist,0,20516,1572864,0.013044
472214467,gc_victim_age_dist,0,18010,1572864,0.011450
473805649,gc_victim_age_dist,0,12020,1572864,0.007642
475391286,gc_victim_age_dist,0,22942,1572864,0.014586
476989352,gc_victim_age_dist,0,16704,1572864,0.010620
478589505,gc_victim_age_dist,0,12260,1572864,0.007795
480178782,gc_victim_age_dist,0,17300,1572864,0.010999
481810249,gc_victim_age_dist,0,26432,1572864,0.016805
483443808,gc_victim_age_dist,0,24766,1572864,0.015746
485061962,gc_victim_age_dist,0,23001,1572864,0.014624
486794835,gc_victim_age_dist,0,10920,1572864,0.006943
488414927,gc_victim_age_dist,0,16069,1572864,0.010216
490021929,gc_victim_age_dist,0,10860,1572864,0.006905
491663087,gc_victim_age_dist,0,23595,1572864,0.015001
493319111,gc_victim_age_dist,0,22521,1572864,0.014318
494964279,gc_victim_age_dist,0,29098,1572864,0.018500
496569431,gc_victim_age_dist,0,15090,1572864,0.009594
498175130,gc_victim_age_dist,0,24775,1572864,0.015752
499758794,gc_victim_age_dist,0,15935,1572864,0.010131
501346349,gc_victim_age_dist,0,13650,1572864,0.008678
502998950,gc_victim_age_dist,0,31628,1572864,0.020109
504628708,gc_victim_age_dist,0,28920,1572864,0.018387
506304793,gc_victim_age_dist,0,22081,1572864,0.014039
507925979,gc_victim_age_dist,0,18045,1572864,0.011473
509556327,gc_victim_age_dist,0,29965,1572864,0.019051
511172127,gc_victim_age_dist,0,33474,1572864,0.021282
511294715,gc_victim_age_dist,0,28160,1572864,0.017904
512845370,gc_victim_age_dist,0,23343,1572864,0.014841
514464833,gc_victim_age_dist,0,12450,1572864,0.007915
516066327,evict_victim_age_dist,0,24993,1572864,0.015890
517669010,evict_victim_age_dist,1,1132615,1572864,0.720097
519255370,evict_victim_age_dist,0,29281,1572864,0.018616
520853247,evict_victim_age_dist,0,140475,1572864,0.089312
522449929,evict_victim_age_dist,1,1231498,1572864,0.782965
524058091,evict_victim_age_dist,0,50939,1572864,0.032386
525682083,evict_victim_age_dist,0,64246,1572864,0.040847
527442682,evict_victim_age_dist,1,1173409,1572864,0.746033
529145356,gc_victim_age_dist,0,81016,1572864,0.051509
529208459,gc_victim_age_dist,0,25330,1572864,0.016104
530823633,gc_victim_age_dist,0,34566,1572864,0.021976
532424297,gc_victim_age_dist,0,32848,1572864,0.020884
534064090,gc_victim_age_dist,0,33378,1572864,0.021221
535671458,gc_victim_age_dist,0,21933,1572864,0.013945
537289320,gc_victim_age_dist,0,20437,1572864,0.012993
538915970,gc_victim_age_dist,0,25370,1572864,0.016130
540597174,gc_victim_age_dist,0,21600,1572864,0.013733
542229244,gc_victim_age_dist,0,28368,1572864,0.018036
543877678,gc_victim_age_dist,0,35360,1572864,0.022481
545538658,gc_victim_age_dist,0,27550,1572864,0.017516
547141788,gc_victim_age_dist,0,33937,1572864,0.021577
548740389,gc_victim_age_dist,0,29217,1572864,0.018576
550410184,gc_victim_age_dist,0,33585,1572864,0.021353
551793491,gc_victim_age_dist,0,37500,1572864,0.023842
552100480,gc_victim_age_dist,0,31270,1572864,0.019881
553742851,gc_victim_age_dist,0,27642,1572864,0.017574
555412554,gc_victim_age_dist,0,5430,1572864,0.003452
557062717,gc_victim_age_dist,0,11810,1572864,0.007509
558709699,gc_victim_age_dist,0,45775,1572864,0.029103
560337863,gc_victim_age_dist,0,14473,1572864,0.009202
562020305,gc_victim_age_dist,0,29347,1572864,0.018658
563668770,gc_victim_age_dist,0,43190,1572864,0.027459
565325426,gc_victim_age_dist,0,16420,1572864,0.010440
566952200,gc_victim_age_dist,0,29988,1572864,0.019066
568567998,gc_victim_age_dist,0,22480,1572864,0.014292
570173387,gc_victim_age_dist,0,32603,1572864,0.020728
571772596,gc_victim_age_dist,0,26327,1572864,0.016738
573442253,gc_victim_age_dist,0,41450,1572864,0.026353
575104605,gc_victim_age_dist,0,34995,1572864,0.022249
576769353,gc_victim_age_dist,0,21352,1572864,0.013575
578408716,gc_victim_age_dist,0,60605,1572864,0.038532
580087577,evict_victim_age_dist,0,47350,1572864,0.030104
581884950,evict_victim_age_dist,0,76005,1572864,0.048323
583528562,evict_victim_age_dist,1,1416099,1572864,0.900331
584938037,evict_victim_age_dist,0,58155,1572864,0.036974
585153254,evict_victim_age_dist,0,48090,1572864,0.030575
586848244,evict_victim_age_dist,1,907694,1572864,0.577096
588466933,evict_victim_age_dist,0,60953,1572864,0.038753
590049595,evict_victim_age_dist,0,176067,1572864,0.111940
591649568,gc_victim_age_dist,0,94283,1572864,0.059944
593233205,gc_victim_age_dist,0,19302,1572864,0.012272
594831646,gc_victim_age_dist,0,24084,1572864,0.015312
596437439,gc_victim_age_dist,0,24738,1572864,0.015728
598067106,gc_victim_age_dist,0,33350,1572864,0.021203
598091276,gc_victim_age_dist,0,26897,1572864,0.017101
599709975,gc_victim_age_dist,0,36485,1572864,0.023197
601736202,gc_victim_age_dist,0,60286,1572864,0.038329
603751555,gc_victim_age_dist,0,39773,1572864,0.025287
605410039,gc_victim_age_dist,0,64388,1572864,0.040937
607073784,gc_victim_age_dist,0,55505,1572864,0.035289
608062447,gc_victim_age_dist,0,40770,1572864,0.025921
608735565,gc_victim_age_dist,0,17437,1572864,0.011086
610416141,gc_victim_age_dist,0,52499,1572864,0.033378
612093000,gc_victim_age_dist,0,18185,1572864,0.011562
613741472,gc_victim_age_dist,0,16895,1572864,0.010742
615400997,gc_victim_age_dist,0,45905,1572864,0.029186
617108052,gc_victim_age_dist,0,45396,1572864,0.028862
618736711,gc_victim_age_dist,0,45210,1572864,0.028744
620363283,gc_victim_age_dist,0,71055,1572864,0.045176
622066241,gc_victim_age_dist,0,59350,1572864,0.037734
623759081,gc_victim_age_dist,0,53950,1572864,0.034300
625507800,gc_victim_age_dist,0,35070,1572864,0.022297
627162933,gc_victim_age_dist,0,24870,1572864,0.015812
628843008,gc_victim_age_dist,0,32082,1572864,0.020397
630451994,evict_victim_age_dist,1,1283349,1572864,0.815931
632143076,evict_victim_age_dist,0,652680,1572864,0.414963
632921382,evict_victim_age_dist,1,1503569,1572864,0.955943
634424847,evict_victim_age_dist,0,109500,1572864,0.069618
